Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),Classification,Clustering,PairClassification,Reranking,Retrieval,STS,Summarization
1,jcorners/ingot-8b-r3,dense,false,true,false,text,,2026-05-23,,82,7.567,7.567,4096,32768,1,false,false,false,false,false,true,75.98,69.98,90.41,58.47,93.79,50.93,70.00,89.32,36.96
2,infgrad/Jasper-Token-Compression-600M,dense,true,true,true,text,mit,2025-11-14,2272,48,0.607,0.607,2048,32768,6,true,true,true,true,true,true,74.75,68.46,90.35,59.44,90.15,50.60,66.19,88.79,33.66
3,Kingsoft-LLM/QZhou-Embedding,dense,true,true,true,text,apache-2.0,2025-08-24,14436,48,7.071,7.071,3584,8192,5,true,true,false,true,true,true,75.97,69.52,88.97,61.65,92.43,51.77,67.12,91.65,33.05
4,Qwen/Qwen3-Embedding-8B,dense,true,true,true,text,apache-2.0,2025-06-05,14433,95,7.567,7.567,4096,32768,4,true,true,false,false,true,true,75.23,68.71,90.43,58.57,87.52,51.56,69.44,88.58,34.83
5,ByteDance-Seed/Seed1.5-Embedding,dense,false,true,false,text,,2025-04-25,,51,,,2048,32768,1,false,false,false,false,false,true,74.76,68.56,89.88,60.83,87.39,50.67,67.45,87.23,36.44
6,annamodels/LGAI-Embedding-Preview,dense,true,true,true,text,apache-2.0,2025-06-11,27125,51,7.11,7.11,4096,32768,4,true,true,false,false,true,true,74.12,68.40,89.97,59.25,88.67,49.13,66.18,86.69,38.93
7,Qwen/Qwen3-Embedding-4B,dense,true,true,true,text,apache-2.0,2025-06-05,7671,95,4.022,4.022,2560,32768,4,true,true,false,false,true,true,74.61,68.10,89.84,57.51,87.01,50.76,68.46,88.72,34.39
8,Bytedance/Seed1.6-embedding,dense,false,true,false,image; text,,2025-06-18,,48,,,2048,32768,1,false,false,false,false,false,true,74.07,67.98,92.42,59.22,85.07,50.28,64.90,86.87,37.10
9,google/gemini-embedding-001,dense,false,true,false,text,,2025-03-07,,95,,,3072,2048,1,false,false,false,false,false,true,73.30,67.67,90.05,59.39,87.70,48.59,64.35,85.29,38.28
10,codefuse-ai/F2LLM-v2-8B,dense,true,true,true,text,apache-2.0,2026-03-09,28871,43,7.568,7.568,4096,40960,6,true,true,true,true,true,true,72.86,66.95,91.52,62.85,86.14,50.21,59.82,84.65,33.47
11,codefuse-ai/F2LLM-v2-14B,dense,true,true,true,text,apache-2.0,2026-03-09,53369,43,13.99,13.99,5120,40960,6,true,true,true,true,true,true,73.08,66.46,91.68,63.54,86.02,50.32,60.63,84.55,28.50
12,jinaai/jina-embeddings-v5-omni-small,dense,true,true,true,video; audio; image; text,cc-by-nc-4.0,2026-04-01,3102,NA,1.626,1.626,1024,32768,3,true,false,false,false,true,true,71.78,65.68,90.75,54.69,84.95,49.38,60.07,88.13,31.77
